scheme_code,scheme_name,fund_house,scheme_type,scheme_category,net_asset_value,date
150967,UTI Fixed Term Income Fund - Series XXXV-II (1223 Days) - Regular Plan - Annual IDCW Option,UTI Mutual Fund,IL&FS Mutual Fund,IDF,10.4861,27-10-2023
150968,UTI Fixed Term Income Fund - Series XXXV-II (1223 Days) - Regular Plan - Flexi IDCW Option,UTI Mutual Fund,IL&FS Mutual Fund,IDF,10.5121,27-10-2023
150969,UTI Fixed Term Income Fund - Series XXXV-II (1223 Days) - Regular Plan - Maturity IDCW Option,UTI Mutual Fund,IL&FS Mutual Fund,IDF,10.5115,27-10-2023
150970,UTI Fixed Term Income Fund - Series XXXV-II (1223 Days) - Direct Plan - Flexi IDCW Option,UTI Mutual Fund,IL&FS Mutual Fund,IDF,10.5493,27-10-2023
150971,UTI Fixed Term Income Fund - Series XXXV-II (1223 Days) - Regular Plan - Growth Option,UTI Mutual Fund,IL&FS Mutual Fund,IDF,10.512,27-10-2023
150972,UTI Fixed Term Income Fund - Series XXXV-II (1223 Days) - Regular Plan - Quarterly IDCW Option,UTI Mutual Fund,IL&FS Mutual Fund,IDF,10.5121,27-10-2023
150983,SBI Fixed Maturity Plan (FMP) - Series 73 (1226 Days) - Regular Plan - IDCW Payout,SBI Mutual Fund,IL&FS Mutual Fund,IDF,10.5557,29-10-2023
150984,SBI Fixed Maturity Plan (FMP) - Series 73 (1226 Days) - Direct Plan - Growth,SBI Mutual Fund,IL&FS Mutual Fund,IDF,10.5698,29-10-2023
150985,SBI Fixed Maturity Plan (FMP) - Series 73 (1226 Days) - Direct Plan - IDCW Payout,SBI Mutual Fund,IL&FS Mutual Fund,IDF,10.5698,29-10-2023
150986,SBI Fixed Maturity Plan (FMP) - Series 73 (1226 Days) - Regular Plan - Growth,SBI Mutual Fund,IL&FS Mutual Fund,IDF,10.5557,29-10-2023
150987,BHARAT Bond ETF - April 2033,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - Other  ETFs,1054.8786,27-10-2023
150988,BHARAT Bond ETF FOF - April 2033 - Regular Plan - IDCW,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,10.5775,27-10-2023
150989,BHARAT Bond ETF FOF - April 2033 - Direct Plan - Growth,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,10.5775,27-10-2023
150990,BHARAT Bond ETF FOF - April 2033 - Direct Plan - IDCW,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,10.5775,27-10-2023
150991,BHARAT Bond ETF FOF - April 2033 - Regular Plan - Growth,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,10.5775,27-10-2023
150992,HSBC Corporate Bond Fund - Regular Growth,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,63.6748,27-10-2023
150993,HSBC Corporate Bond Fund - Regular Quarterly IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,10.9503,27-10-2023
150994,HSBC Corporate Bond Fund - Regular Semi Annual IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,16.6252,27-10-2023
150995,HSBC Corporate Bond Fund -Regular Plan - Bonus,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,24.1872,27-10-2023
150996,HSBC Corporate Bond Fund - Direct Growth,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,67.4427,27-10-2023
150997,HSBC Corporate Bond Fund - Direct Semi Annual IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,19.7855,27-10-2023
150998,HSBC Corporate Bond Fund - Direct Quarterly IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,11.3043,27-10-2023
151000,HSBC Corporate Bond Fund - Direct Annual IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,12.1377,27-10-2023
151001,HSBC Corporate Bond Fund - Regular Annual IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,11.9408,27-10-2023
151012,HSBC Gilt Fund - Regular Quarterly IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,10.8188,27-10-2023
151013,HSBC Gilt Fund - Regular Growth,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,57.736,27-10-2023
151014,HSBC Gilt Fund - Direct Growth,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,64.8724,27-10-2023
151015,HSBC Gilt Fund - Direct Quarterly IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,12.2671,27-10-2023
151033,HSBC Midcap Fund - Regular IDCW,HSBC Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,55.992,27-10-2023
