scheme_code,scheme_name,fund_house,scheme_type,scheme_category,net_asset_value,date
100027,Grindlays Super Saver Income Fund-GSSIF-Half Yearly Dividend,Standard Chartered Mutual Fund,Open Ended Schemes,Income,10.7205,29-05-2008
100028,Grindlays Super Saver Income Fund-GSSIF-Quaterly Dividend,Standard Chartered Mutual Fund,Open Ended Schemes,Income,10.6191,29-05-2008
100029,Grindlays Super Saver Income Fund-GSSIF-Growth,Standard Chartered Mutual Fund,Open Ended Schemes,Income,18.9736,29-05-2008
100030,Grindlays Super Saver Income Fund-GSSIF-Annual Dividend,Standard Chartered Mutual Fund,Open Ended Schemes,Income,10.7115,29-05-2008
100031,Grindlays Super Saver Income Fund-GSSIF - ST-Dividend,Standard Chartered Mutual Fund,Open Ended Schemes,Income,10.1053,29-05-2008
100032,Grindlays Super Saver Income Fund-GSSIF - ST-Growth,Standard Chartered Mutual Fund,Open Ended Schemes,Income,16.4299,29-05-2008
100033,Aditya Birla Sun Life Equity Advantage Fund - Regular Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,671.4,27-10-2023
100034,Aditya Birla Sun Life Equity Advantage Fund -Regular - IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,111.76,27-10-2023
100035,Birla Sun Life Freedom Fund-Plan A (Dividend),Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Income,14.55,21-10-2011
100036,Birla Sun Life Freedom Fund-Plan B (Growth),Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Income,30.91,21-10-2011
100037,Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,13.0014,27-10-2023
100038,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,109.0129,27-10-2023
100041,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,108.0443,28-10-2023
100042,Aditya Birla Sun Life Liquid Fund-Retail (Growth),Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,607.0361,28-10-2023
100043,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,622.9446,28-10-2023
100044,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,163.7254,28-10-2023
100046,Aditya Birla Sun Life Liquid Fund -Daily IDCW,Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100.2139,28-10-2023
100047,Aditya Birla Sun Life Liquid Fund - Growth,Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,374.0696,28-10-2023
100048,Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,108.2261,28-10-2023
100049,Aditya Birla Sun Life Cash Plus-Institutional - Fortnightly Dividend,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Income,10.821,11-02-2011
100051,Aditya Birla Sun Life Liquid Fund -weekly IDCW,Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100.2495,28-10-2023
100052,Aditya Birla Sun Life Cash Plus-Institutional Premium - Fortnightly Dividend,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Income,10,16-02-2011
100053,Aditya Birla Sun Life Cash Plus-Institutional Premium Plan-Monthly Dividend,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Income,10,15-02-2011
100054,Aditya Birla Sun Life Gilt Plus - Liquid Plan - Quarterly Dividend - Regular Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Income,10.8119,11-12-2015
100055,Aditya Birla Sun Life Gilt Plus - Liquid Plan - Growth - Regular Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Income,32.2187,11-12-2015
100056,Aditya Birla Sun Life Gilt Plus - Liquid Plan - Annual Dividend - Regular Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Income,10.8838,11-12-2015
100057,Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,10.9796,27-10-2023
100058,Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,70.2218,27-10-2023
100059,Aditya Birla Sun Life Gilt Plus-PF Plan (Annual Dividend),Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Income,5,22-02-2013
100060,Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Quarterly Dividend - Regular Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Income,11.612,01-06-2018
100061,Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Growth - Regular Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Income,48.7047,01-06-2018
100062,Aditya Birla Sun Life Gilt Plus-Regular Plan (Annual Dividend),Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,23.7552,11-02-2011
100063,Aditya Birla Sun Life MNC Fund - Regular - IDCW,Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,179.69,27-10-2023
100064,Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,1040.44,27-10-2023
100065,Aditya Birla Sun Life India Opportunities Fund - Dividend - Regular Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Income,30.44,01-06-2018
100066,Aditya Birla Sun Life India Opportunities Fund - Growth - Regular Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Income,163.49,01-06-2018
100067,Aditya Birla Sun Life Tax Plan -Regular - IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,89.39,13-04-2023
100068,BARODA ELSS 96 - Plan A - IDCW,Baroda Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,38.9383,13-03-2022
100069,BARODA PIONEER DIVERSIFIED FUND,Baroda Pioneer Mutual Fund,Open Ended Schemes,Income,36.71,30-10-2009
100077,DSP Bond Fund - IDCW,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,11.7023,27-10-2023
100078,DSP Bond Fund - Growth,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,71.3092,27-10-2023
100079,DSP Bond Fund - IDCW - Monthly,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,11.058,27-10-2023
100080,DSP Flexi Cap Fund - Regular Plan - IDCW,DSP Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,54.297,27-10-2023
100081,DSP Equity & Bond Fund- Regular Plan - Growth,DSP Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,261.451,27-10-2023
100082,DSP Equity & Bond Fund- Regular Plan - IDCW,DSP Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,25.379,27-10-2023
100084,DSP Government Securities Fund - Regular Plan - Growth,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,82.0277,27-10-2023
100085,DSP Government Securities Fund - Regular Plan - IDCW,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,12.1372,27-10-2023
100086,DSP Government Securities Fund - Regular Plan - IDCW - Monthly,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,10.6433,27-10-2023
100087,DSP Savings Fund - Regular Plan - Growth,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,46.6864,27-10-2023
100088,DSP Savings Fund - Regular Plan - IDCW,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,12.1513,27-10-2023
100089,DSP Savings Fund - Regular Plan - IDCW - Monthly,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,10.8949,27-10-2023
100090,DSP BlackRock Technology.com   Fund - Regular Plan - Growth,DSP Mutual Fund,Open Ended Schemes,Income,50.203,28-07-2017
100119,HDFC Balanced Advantage Fund - Growth Plan,HDFC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,377.524,27-10-2023
100120,HDFC Balanced Advantage Fund - IDCW Plan,HDFC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,32.468,27-10-2023
100121,HDFC Balanced Fund - Dividend Option,HDFC Mutual Fund,Open Ended Schemes,Income,30.651,01-06-2018
100122,HDFC Balanced Fund - Growth Option,HDFC Mutual Fund,Open Ended Schemes,Income,147.069,01-06-2018
100123,HDFC Income Fund - Quarterly IDCW Option,HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,10.869,27-10-2023
100124,HDFC Income Fund - Growth Option,HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,50.1629,27-10-2023
100136,Principal Deposit Fund-Plan 54EA/EB-Plan 54EA /EB,PRINCIPAL Mutual Fund,Open Ended Schemes,Income,17.9034,29-12-2006
100150,Principal Child Benefit Fund-Super Saver-Future Guard Plan,PRINCIPAL Mutual Fund,Open Ended Schemes,Income,64.01,10-07-2009
100151,Principal Retail Equity Savings Fund - Growth Option,PRINCIPAL Mutual Fund,Open Ended Schemes,Income,83.89,28-02-2014
100152,Principal Nifty 100 Equal Weight Fund-Income Distribution CUM Capital Withdrawal,Principal Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,63.3681,30-12-2021
100153,Principal Nifty 100 Equal Weight Fund-Growth,Principal Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,107.8205,30-12-2021
100154,Principal Equity Fund-Dividend,PRINCIPAL Mutual Fund,Open Ended Schemes,Income,23.53,04-08-2006
100155,Principal Equity Fund-Growth,PRINCIPAL Mutual Fund,Open Ended Schemes,Income,29.77,04-08-2006
100156,Principal Tax Savings Fund,Principal Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,323.09,30-12-2021
100171,Quant Dynamic Bond-Dividend,quant Mutual Fund,Open Ended Schemes,Debt Scheme - Dynamic Bond,12.2802,12-02-2021
100172,Quant Dynamic Bond-Growth,quant Mutual Fund,Open Ended Schemes,Debt Scheme - Dynamic Bond,64.5152,12-02-2021
100173,Quant Dynamic Bond-Bonus,quant Mutual Fund,Open Ended Schemes,Debt Scheme - Dynamic Bond,33.9314,12-02-2021
100174,quant Tax Plan - IDCW Option - Regular Plan,quant Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,37.0408,27-10-2023
100175,quant Tax Plan - Growth Option - Regular Plan,quant Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,266.7096,27-10-2023
100176,quant Small Cap Fund - IDCW Option - Regular Plan,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,141.0509,27-10-2023
100177,quant Small Cap Fund - Growth - Regular Plan,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,177.3894,27-10-2023
100178,ING Income Fund-Regular Plan -Dividend Option (Quarterly),ING Mutual Fund,Open Ended Schemes,Income,11.8738,09-10-2014
100179,ING Income Fund-Regular Plan -Dividend Option (Half Yearly),ING Mutual Fund,Open Ended Schemes,Income,10.9604,09-10-2014
100180,ING Income Fund- Regular Plan - Dividend Option (Annual),ING Mutual Fund,Open Ended Schemes,Income,11.3944,09-10-2014
100181,ING Income Fund-Regular Plan -Growth Option,ING Mutual Fund,Open Ended Schemes,Income,32.9755,09-10-2014
100182,ING Income Fund-Institutional Plan - Dividend Option (Half Yearly),ING Mutual Fund,Open Ended Schemes,Income,10,09-10-2014
100183,ING Income Fund-Institutional Plan - Dividend Option (Quarterly),ING Mutual Fund,Open Ended Schemes,Income,10,09-10-2014
100184,ING Income Fund-Institutional Plan -Dividend Option (Annual),ING Mutual Fund,Open Ended Schemes,Income,10,09-10-2014
100185,ING Income Fund-Bonus Option,ING Mutual Fund,Open Ended Schemes,Income,14.5492,12-06-2009
100186,ING Income Fund-Institutional Bonus Option,ING Mutual Fund,Open Ended Schemes,Income,15.0986,12-06-2009
100187,ING Income Fund-Institutional Plan - Growth Option,ING Mutual Fund,Open Ended Schemes,Income,14.1208,09-10-2014
100188,ING Core Equity Fund-Dividend Option,ING Mutual Fund,Open Ended Schemes,Income,22.68,09-10-2014
100189,ING Core Equity Fund-Growth Option,ING Mutual Fund,Open Ended Schemes,Income,56.89,09-10-2014
100190,ING Liquid Fund-Regular Growth Option,ING Mutual Fund,Open Ended Schemes,Income,27.339,09-10-2014
100191,ING Liquid Fund-Regular Weekly Dividend Option,ING Mutual Fund,Open Ended Schemes,Income,10.8286,09-10-2014
100192,ING Liquid Fund-Regular Daily Dividend Option,ING Mutual Fund,Open Ended Schemes,Income,10.7873,09-10-2014
100194,ING Liquid Fund-Auto Sweep Growth Option,ING Mutual Fund,Open Ended Schemes,Income,10,18-03-2009
100195,ING Liquid Fund-Auto Sweep Weekly Dividend Option,ING Mutual Fund,Open Ended Schemes,Income,10,18-03-2009
100196,ING Liquid Fund-Institutional Growth Option,ING Mutual Fund,Open Ended Schemes,Income,20.7771,09-10-2014
100197,ING Liquid Fund-Institutional Weekly Dividend Option,ING Mutual Fund,Open Ended Schemes,Income,10,09-10-2014
100198,ING Liquid Fund-Institutional Daily Dividend Option,ING Mutual Fund,Open Ended Schemes,Income,10.0121,09-10-2014
100199,ING Liquid Fund-Super Institutional Growth Option,ING Mutual Fund,Open Ended Schemes,Income,19.933,09-10-2014
100200,ING Liquid Fund-Super Institutional Daily Dividend Option,ING Mutual Fund,Open Ended Schemes,Income,10.0048,09-10-2014
100201,ING Liquid Fund-Super Institutional Weekly Dividend Option,ING Mutual Fund,Open Ended Schemes,Income,10.0155,09-10-2014
100202,ING Balanced Fund-Dividend Option,ING Mutual Fund,Open Ended Schemes,Income,16.69,09-10-2014
100203,ING Balanced Fund-Growth Option,ING Mutual Fund,Open Ended Schemes,Income,35.38,09-10-2014
100218,JM Large Cap Fund (Regular) - IDCW ,JM Financial Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,22.0881,27-10-2023
100219,JM Large Cap Fund (Regular) - Growth Option,JM Financial Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,113.7809,27-10-2023
100220,JM Equity Hybrid Fund (Regular) - IDCW ,JM Financial Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,24.1237,27-10-2023
100221,JM Equity Hybrid Fund (Regular) -Growth Option,JM Financial Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,86.2491,27-10-2023
100222,JM Medium to Long Duration Fund (Regular) - Quarterly IDCW,JM Financial Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,18.2935,27-10-2023
100223,JM Medium to Long Duration Fund (Regular) - Growth Option,JM Financial Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,53.8038,27-10-2023
100233,JM Liquid Fund (Regular) - Weekly IDCW,JM Financial Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,11.0136,29-10-2023
100234,JM Liquid Fund - Growth Option,JM Financial Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,63.4584,29-10-2023
100237,JM High Liquidity Fund-- Institutional Plan - Growth,JM Financial Mutual Fund,119416;INF955L01AN6;-;BARODA PIONEER LIQUID FUND - PLAN B,DIRECT,22.9625,18-03-2015
100238,JM High Liquidity Fund-Institutional Plan - Daily Dividend,JM Financial Mutual Fund,119416;INF955L01AN6;-;BARODA PIONEER LIQUID FUND - PLAN B,DIRECT,10.0159,01-08-2016
100241,JM High Liquidity Fund-- Institutional Plan - Dividend,JM Financial Mutual Fund,119416;INF955L01AN6;-;BARODA PIONEER LIQUID FUND - PLAN B,DIRECT,10.7545,17-07-2013
100243,JM High Liquidity Fund-- Premium Plan - Daily Dividend Option,JM Financial Mutual Fund,Open Ended Schemes,Income,10,04-01-2010
100244,JM Liquid Fund (Regular) - Quarterly IDCW,JM Financial Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,35.9179,29-10-2023
100245,JM High Liquidity Fund-Super Institutional Plan- Daily Dividend,JM Financial Mutual Fund,119416;INF955L01AN6;-;BARODA PIONEER LIQUID FUND - PLAN B,DIRECT,10.0165,14-03-2013
100246,JM High Liquidity Fund-Super Institutional Plan- Weekly  Dividend,JM Financial Mutual Fund,119416;INF955L01AN6;-;BARODA PIONEER LIQUID FUND - PLAN B,DIRECT,10.1653,11-08-2013
100247,JM Liquid Fund (Regular) - Super Institutional Plan - Growth Option,JM Financial Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,36.4786,29-10-2023
100249,JM G-Sec Fund - Quarterly Dividend Option,JM Financial Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,27.7698,07-09-2019
100250,JM G-Sec Fund - Growth Option,JM Financial Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,60.761,07-09-2019
100251,JM G-Sec Fund-PF Plan - Growth Plan,JM Financial Mutual Fund,Open Ended Schemes,Income,23.1087,08-04-2008
100252,JM G-Sec Fund-PF Plan -Dividend Plan,JM Financial Mutual Fund,Open Ended Schemes,Income,21.1668,08-04-2008
100253,JM G-Sec Fund - Bonus Option - Principal Units,JM Financial Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,29.5608,07-09-2019
100254,JM Value Fund (Regular) - Growth Option,JM Financial Mutual Fund,Open Ended Schemes,Equity Scheme - Value Fund,69.052,27-10-2023
100261,Kotak Gilt-Savings-Monthly Dividend,Kotak Mahindra Mutual Fund,Open Ended Schemes,Income,10.7834,13-08-2013
100262,Kotak Gilt-Savings-Growth,Kotak Mahindra Mutual Fund,Open Ended Schemes,Income,26.3699,13-08-2013
100263,Kotak Gilt-Savings-Annual Dividend,Kotak Mahindra Mutual Fund,Open Ended Schemes,Income,15.6902,13-08-2013
100264,Kotak Gilt-Investment Regular-Payout of Income Distribution cum capital withdrawal option,Kotak Mahindra Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,16.4626,27-10-2023
100265,Kotak Gilt-Investment Regular-Growth,Kotak Mahindra Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,84.2498,27-10-2023
100278,Kotak Gilt-Serial 2019-Dividend,Kotak Mahindra Mutual Fund,Open Ended Schemes,Income,10.00523,15-06-2006
100279,Kotak Gilt-Serial 2019-Growth,Kotak Mahindra Mutual Fund,Open Ended Schemes,Income,10.20583,15-06-2006
100280,Kotak Gilt-Investment  Provident Fund and Trust-Payout of Income Distribution cum capital withdrawal option,Kotak Mahindra Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,11.6781,27-10-2023
100281,Kotak Gilt-Investment  Provident Fund and Trust-Growth,Kotak Mahindra Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,86.1928,27-10-2023
100282,HDFC FMP 3M MAY 2006(1)-INSTITUTIONAL PLAN-Growth,HDFC Mutual Fund,Close Ended Schemes,Income,10.0017,10-08-2006
100283,HDFC FMP 3M MAY 2006(1)-INSTITUTIONAL PLAN-Dividend,HDFC Mutual Fund,Close Ended Schemes,Income,10.0017,10-08-2006
100284,HDFC FMP 3M MAY 2006(1)-RETAIL-Growth,HDFC Mutual Fund,Close Ended Schemes,Income,10.0017,10-08-2006
100285,HDFC FMP 3M MAY 2006(1)-RETAIL-Dividend,HDFC Mutual Fund,Close Ended Schemes,Income,10.0017,10-08-2006
100286,Kotak Equity Hybrid - Payout of Income Distribution cum capital withdrawal option,Kotak Mahindra Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,26.756,27-10-2023
100289,Kotak Tech,Kotak Mahindra Mutual Fund,Open Ended Schemes,Income,5.948,30-06-2009
100290,Kotak MNC,Kotak Mahindra Mutual Fund,Open Ended Schemes,Income,25.009,30-06-2009
100291,Kotak Bond-Deposit-Dividend,Kotak Mahindra Mutual Fund,120471;INF192K01EA7;-;JM Short Term Fund,Direct,13.6554,21-10-2016
100292,Kotak Bond-Deposit-Growth,Kotak Mahindra Mutual Fund,120471;INF192K01EA7;-;JM Short Term Fund,Direct,42.9354,21-10-2016
100298,Kotak Bond Regular Plan Quaterly Payout of Income Distribution cum capital withdrawal option,Kotak Mahindra Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,13.2653,17-09-2021
100299,Kotak Bond Fund - Regular Plan Growth,Kotak Mahindra Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,66.7235,27-10-2023
100300,Kotak Bond Fund - Regular Plan - Standard IDCW Option,Kotak Mahindra Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,40.8793,27-10-2023
100301,Kotak Bond Regular Plan Bonus Plan,Kotak Mahindra Mutual Fund,120471;INF192K01EA7;-;JM Short Term Fund,Direct,30.696,21-10-2016
100312,LIC MF Flexi Cap Fund-Regular Plan-IDCW,LIC Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,23.735,27-10-2023
100313,LIC MF Flexi Cap Fund-Regular Plan-Growth,LIC Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,75.215,27-10-2023
100314,LIC MF Medium to Long Duration Bond Fund-Regular Plan-IDCW,LIC Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,13.6788,27-10-2023
100315,LIC MF Medium to Long Duration Bond Fund-Regular Plan-Growth,LIC Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,62.4047,27-10-2023
100316,LIC MF Gilt Fund-Regular Plan-IDCW,LIC Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,15.0294,27-10-2023
100317,LIC MF Gilt Fund-Regular Plan-Growth,LIC Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,52.1403,27-10-2023
100318,LIC MF Gilt Fund-PF Plan-IDCW,LIC Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,19.487,27-10-2023
100319,LIC MF Gilt Fund-PF Plan-Growth,LIC Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,30.1143,27-10-2023
100321,LIC MF Aggressive Hybrid Fund-Regular Plan-IDCW,LIC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,13.7983,27-10-2023
100323,LIC MF Aggressive Hybrid Fund-Regular Plan-Growth,LIC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,147.4087,27-10-2023
100325,LIC MF ULIS (5 Yrs. Single Premium)-Regular Plan-IDCW Reinvestment,LIC Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,29.2815,27-10-2023
100332,LIC MF Large Cap Fund-Regular Plan-IDCW,LIC Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,25.1834,27-10-2023
100337,SaharaTax Gain-Dividend,Sahara Mutual Fund,Open Ended Schemes,ELSS,12.6247,03-04-2020
100338,SaharaTax Gain-Growth,Sahara Mutual Fund,Open Ended Schemes,ELSS,53.9014,03-04-2020
100347,Morgan Stanley Growth Fund- Regular Growth Plan,Morgan Stanley Mutual Fund,Open Ended Schemes,Income,80.606,26-06-2014
100348,ICICI Prudential Large & Mid Cap Fund - IDCW,ICICI Prudential Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,25.5,27-10-2023
100349,ICICI Prudential Large & Mid Cap Fund - Growth,ICICI Prudential Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,667.18,27-10-2023
100350,ICICI Prudential Large & Mid Cap Fund - Institutional Option - I - Growth,ICICI Prudential Mutual Fund,Open Ended Schemes,Income,32.76,07-07-2014
100351,ICICI Prudential FMCG Fund - IDCW,ICICI Prudential Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,88.23,27-10-2023
100352,ICICI Prudential FMCG Fund - Growth,ICICI Prudential Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,439.23,27-10-2023
100353,ICICI Prudential Long Term Equity Fund (Tax Saving)- IDCW,ICICI Prudential Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,21.11,27-10-2023
100354,ICICI Prudential Long Term Equity Fund (Tax Saving) - Growth,ICICI Prudential Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,667.72,27-10-2023
100355,ICICI Prudential Equity & Debt Fund - Monthly IDCW,ICICI Prudential Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,33.64,27-10-2023
100356,ICICI Prudential Equity & Debt Fund - Growth,ICICI Prudential Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,277.88,27-10-2023
100357,ICICI Prudential Liquid Fund -Quarterly IDCW,ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,101.4288,16-09-2022
100358,ICICI Prudential Liquid Fund-Dividend-Institutional Quarterly,ICICI Prudential Mutual Fund,Open Ended Schemes,Income,100.1178,03-07-2012
100359,ICICI Prudential Liquid Institutional Plus Fund - Div - Daily,ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,118.5152,24-04-2020
100360,ICICI Prudential Liquid Institutional Plus Fund - Div - Weekly,ICICI Prudential Mutual Fund,Open Ended Schemes,Income,118.7538,08-09-2014
100361,ICICI Prudential Liquid Fund-Dividend-Institutional Plus - Monthly,ICICI Prudential Mutual Fund,Open Ended Schemes,Income,100.4302,30-07-2012
100362,ICICI Prudential Liquid Institutional Plus Fund - Growth,ICICI Prudential Mutual Fund,Open Ended Schemes,Income,310.9995,26-03-2014
100363,ICICI Prudential Technology Fund - Growth,ICICI Prudential Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,147.63,27-10-2023
100364,ICICI Prudential Long Term Bond Fund - Half Yearly IDCW,ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Long Duration Fund,11.1771,16-09-2022
100365,ICICI Prudential Long Term Bond Fund - Growth,ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Long Duration Fund,76.4745,27-10-2023
100366,ICICI Prudential Long Term Bond Fund-Institutional Quarterly Dividend,ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Long Duration Fund,11.7562,24-04-2020
100367,ICICI Prudential Long Term Bond Fund - Quarterly IDCW,ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Long Duration Fund,12.0771,27-10-2023
100368,ICICI Prudential Gilt Fund - IDCW,ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,17.1321,27-10-2023
100369,ICICI Prudential Gilt Fund - Growth,ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,89.3805,27-10-2023
